X,Y,LT,LD,SL,DD,RF,LULC,SO,AL,TWI,PC,Yields,Class
776218.0,9221733.0,18.0,0.21,15.642,2.614,3891.853,1.0,3.0,810.0,5.228,-10.0,5.0,2.0
776310.0,9221733.0,18.0,0.195,12.156,2.682,3893.773,4.0,3.0,812.0,6.03,-4.0,5.0,2.0
766517.0,9211285.0,12.0,0.768,12.156,1.454,3328.743,5.0,2.0,1540.0,5.527,2.0,5.2,2.0
816503.0,9224050.0,4.0,0.0,8.985,1.493,4155.771,4.0,2.0,831.0,8.982,0.0,5.5,2.0
813443.0,9224450.0,5.0,0.537,4.574,1.893,4289.595,1.0,2.0,746.0,10.152,0.0,5.6,2.0
791513.0,9215806.0,6.0,0.0,4.355,2.656,3812.795,1.0,2.0,1164.0,6.154,0.0,5.76,2.0
794696.0,9214825.0,6.0,0.572,5.111,4.168,3783.365,1.0,2.0,1079.0,7.448,1.0,5.76,2.0
779937.0,9206275.0,6.0,0.0,10.888,3.008,3351.24,1.0,2.0,1476.0,7.03,-4.0,5.76,2.0
785165.0,9209211.0,6.0,1.342,32.733,3.154,3523.827,5.0,2.0,1367.0,4.709,7.0,5.84,2.0
816217.0,9223927.0,4.0,0.0,7.209,1.804,4131.28,1.0,2.0,863.0,6.522,2.0,6.0,2.0
802931.0,9218239.0,6.0,0.0,3.238,2.139,3899.943,1.0,2.0,732.0,6.273,5.0,6.0,2.0
767680.0,9215688.0,12.0,0.928,6.505,2.734,3462.19,1.0,2.0,1342.0,4.644,1.0,6.0,2.0
793357.0,9240404.0,11.0,1.15,10.888,2.208,5162.169,1.0,3.0,1020.0,4.75,3.0,6.0,2.0
767440.0,9210181.0,8.0,0.189,17.349,1.396,3323.676,1.0,2.0,1580.0,4.496,3.0,6.9,2.0
773609.0,9213606.0,12.0,0.892,21.312,2.575,3450.331,1.0,2.0,1140.0,4.989,0.0,7.74,2.0
797065.0,9238639.0,11.0,0.611,9.794,2.619,5028.311,1.0,3.0,870.0,4.986,-6.0,8.0,2.0
779110.0,9212394.0,6.0,1.416,21.223,3.116,3567.021,5.0,2.0,1062.0,12.379,0.0,8.11,2.0
774022.0,9211270.0,12.0,1.244,2.291,4.693,3388.891,1.0,2.0,1246.0,6.172,3.0,8.45,2.0
777899.0,9209360.0,6.0,0.746,13.059,3.376,3408.381,5.0,2.0,1391.0,7.095,3.0,8.48,2.0
783045.0,9214210.0,6.0,0.0,13.518,1.763,3721.046,1.0,2.0,883.0,5.075,-1.0,8.82,2.0
815853.0,9222378.0,5.0,0.0,15.793,3.376,4081.246,1.0,2.0,940.0,4.528,-3.0,10.0,3.0
802867.0,9218124.0,6.0,0.0,7.429,2.07,3899.689,1.0,2.0,731.0,5.794,3.0,10.0,3.0
801527.0,9216819.0,6.0,0.311,0.0,2.949,3866.782,4.0,2.0,802.0,5.98,0.0,10.0,3.0
774842.0,9208986.0,12.0,0.84,25.996,4.01,3347.19,5.0,2.0,1526.0,3.462,-3.0,10.0,3.0
800423.0,9240699.0,11.0,1.615,8.089,3.255,5187.654,5.0,3.0,1258.0,4.593,-1.0,10.0,3.0
799687.0,9221636.0,4.0,0.0,3.337,3.877,4028.955,4.0,3.0,702.0,8.171,2.0,10.0,3.0
776291.0,9221722.0,18.0,0.206,6.303,2.682,3891.765,4.0,3.0,814.0,6.03,-3.0,10.0,3.0
776056.0,9221638.0,18.0,0.267,9.09,2.478,3884.287,1.0,3.0,819.0,5.256,0.0,10.0,3.0
776112.0,9221685.0,18.0,0.242,11.143,2.551,3887.739,1.0,3.0,813.0,4.761,-4.0,10.0,3.0
